Location,Miles,Route
New York,11701,New York -> Boston -> Cleveland -> Philadelphia -> Washington -> Charlotte -> Cincinnati -> Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Atlanta -> Miami
Charlotte,11017,Charlotte -> Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Cincinnati -> St. Louis -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> Atlanta -> Miami
Detroit,10914,Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Portland,11282,Portland -> Seattle -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Denver -> Dallas -> St. Louis -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Seattle,9663,Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Chicago,10813,Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Albuquerque,11113,Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Denver -> Dallas -> St. Louis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Cincinnati,10833,Cincinnati -> St. Louis -> Dallas -> Denver -> Albuquerque -> Phoenix -> Los Angeles -> Las Vegas -> San Francisco -> Portland -> Seattle -> Minneapolis -> Chicago -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
Cleveland,11365,Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Cincinnati -> Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Atlanta -> Miami
Washington,10914,Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Chicago -> Minneapolis -> Seattle -> Portland -> San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Denver -> Dallas -> St. Louis -> Cincinnati -> Charlotte -> Atlanta -> Miami
Miami,9515,Miami -> Atlanta -> Charlotte -> Washington -> Philadelphia -> New York -> Boston -> Cleveland -> Detroit -> Cincinnati -> Chicago -> St. Louis -> Dallas -> Denver -> Minneapolis -> Seattle -> Portland -> San Francisco -> Los Angeles -> Phoenix -> Albuquerque -> Las Vegas
San Francisco,11273,San Francisco -> Las Vegas -> Los Angeles -> Phoenix -> Albuquerque -> Seattle -> Portland -> Denver -> Dallas -> St. Louis -> Minneapolis -> Chicago -> Cincinnati -> Detroit -> Cleveland -> Boston -> New York -> Philadelphia -> Washington -> Charlotte -> Atlanta -> Miami
